Valor,Profundidad,Hojas,Accuracy train,Accuracy val,Precision phishing val,Recall phishing val,F1 phishing val
3,3,7,0.906797385620915,0.9166666666666666,0.9554234769687965,0.8482849604221636,0.8986722571628232
5,5,21,0.9265359477124183,0.9270114942528735,0.9500713266761769,0.8786279683377308,0.9129540781357094
8,8,93,0.9464052287581699,0.9304597701149425,0.9207397622192867,0.9195250659630607,0.9201320132013201
12,12,284,0.9777777777777777,0.9367816091954023,0.9240837696335078,0.9313984168865436,0.9277266754270697
20,20,424,0.9901960784313726,0.9293103448275862,0.9086229086229086,0.9313984168865436,0.9198697068403909
