Valor,Profundidad,Hojas,Accuracy train,Accuracy val,Precision phishing val,Recall phishing val,F1 phishing val
1,20,424,0.9901960784313726,0.9385057471264368,0.9167733674775929,0.9445910290237467,0.9304743339831059
5,15,257,0.9662745098039216,0.9264367816091954,0.9233870967741935,0.9063324538258575,0.914780292942743
10,14,175,0.9504575163398693,0.9356321839080459,0.9141025641025641,0.9406332453825857,0.9271781534460338
20,12,116,0.9413071895424837,0.9224137931034483,0.9071895424836601,0.9155672823218998,0.9113591595535128
